"Nch","N","url","id","Locality_Name","Postal_code","Type_of_property","Subtype_of_property","Price","Type_of_sale","Number_of_rooms","Living_Area","Equipped_kitchen","Furnished","Open_fire","Terrace_YN","TerraceSurface","Garden_YN","Garden_area","Surface_of_good","Number_of_facades","Swimming_pool_YN","State_of_building","ipiNo","customer_type","regionCode","region","province","location_type","seller_type","seller_name","seller_website"
"0","1","https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/ronse/9600/10993048","10993048","Ronse","9600","HOUSE_GROUP","HOUSE_GROUP","","FOR_SALE","","","","None","False","None","","","","","","","","504.850","AGENCY","FLANDERS","Flanders","East Flanders","","AGENCY","IMMO BEGUIN","http://www.immobeguin.be/"
"0","2","https://www.immoweb.be/en/classified/service-flat/for-sale/aalst/9300/10993379","10993379","Aalst","9300","APARTMENT","SERVICE_FLAT","245000","FOR_SALE","1","52","HYPER_EQUIPPED","False","False","True","10","","","","2","False","AS_NEW","504254","AGENCY","FLANDERS","Flanders","East Flanders","URBAN","AGENCY","Immo Da Vinci","http://www.immodavinci.be"
"0","3","https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/evergem/9940/10993325","10993325","Evergem","9940","APARTMENT_GROUP","APARTMENT_GROUP","","FOR_SALE","","","","None","False","None","","","","","","","","504254","AGENCY","FLANDERS","Flanders","East Flanders","","AGENCY","Immo Da Vinci","http://www.immodavinci.be"
"0","4","https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/evergem-sleidinge/9940/10993287","10993287","Evergem Sleidinge","9940","APARTMENT_GROUP","APARTMENT_GROUP","","FOR_SALE","","","","None","False","None","","","","","","","","504254","AGENCY","FLANDERS","Flanders","East Flanders","","AGENCY","Immo Da Vinci","http://www.immodavinci.be"
"0","5","https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/molenbeek-saint-jean/1080/10993216","10993216","Molenbeek-Saint-Jean","1080","APARTMENT_GROUP","APARTMENT_GROUP","","FOR_SALE","","","","None","False","None","","","","","","","","505.122","AGENCY","BRUSSELS","Brussels","Brussels","","AGENCY","BATHIM & CO RESIDENTIAL",""
"0","6","https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/berchem-sainte-agathe/1082/10993210","10993210","Berchem-Sainte-Agathe","1082","APARTMENT_GROUP","APARTMENT_GROUP","","FOR_SALE","","","","None","False","None","","","","","","","","505.122","AGENCY","BRUSSELS","Brussels","Brussels","","AGENCY","BATHIM & CO RESIDENTIAL",""
"0","7","https://www.immoweb.be/en/classified/mixed-use-building/for-sale/aalst/9300/10993149","10993149","Aalst","9300","HOUSE","MIXED_USE_BUILDING","275000","FOR_SALE","3","249","INSTALLED","False","False","True","21","","","6","2","False","GOOD","503.550","AGENCY","FLANDERS","Flanders","East Flanders","URBAN","AGENCY","Immo De Ras","http://www.immoderas.be"
"0","8","https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/perwez/1360/10993649","10993649","Perwez","1360","APARTMENT_GROUP","APARTMENT_GROUP","","FOR_SALE","","","","None","False","None","","","","","","","","504157","AGENCY","WALLONIE","Wallonie","Walloon Brabant","","AGENCY","Aryes Properties s.p.r.l","http://www.aryes.be"
"0","9","https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/ronse/9600/10993042","10993042","Ronse","9600","HOUSE_GROUP","HOUSE_GROUP","","FOR_SALE","","","","None","False","None","","","","","","","","504.850","AGENCY","FLANDERS","Flanders","East Flanders","","AGENCY","IMMO BEGUIN","http://www.immobeguin.be/"
"0","10","https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/oudenaarde/9700/10993083","10993083","Oudenaarde","9700","APARTMENT_GROUP","APARTMENT_GROUP","","FOR_SALE","","","","None","False","None","","","","","","","","504.850","AGENCY","FLANDERS","Flanders","East Flanders","","AGENCY","IMMO BEGUIN","http://www.immobeguin.be/"
